Date,entropy,synchronization,amplitude,psi,pressure,percentile,defensive_weight,risk_return,defensive_return,cesp_return,cesp_equity,risk_equity,defensive_equity,weight,date
2021-02-23,0.8550835974296063,-0.1111111111111111,1.1688835121216128,0.0,0.021009950567780048,0.24603174603174602,0.0,-0.02225354550863977,-0.0008969353080920395,-0.02225354550863977,4.748750506539736,4.143223809553108,1.274601811948519,0.0,2021-02-23
2021-02-24,0.9268254151064041,1.0,1.3890079624587812,0.10164008106682068,0.024760189195642407,0.1865079365079365,0.0,0.01759656646896716,-0.002572421676990705,0.01759656646896716,4.832312210472604,4.216130322713717,1.271322998617931,0.0,2021-02-24
2021-02-25,0.9498350247376917,1.0,2.5043472738734445,0.1256305190420907,0.029451832444314426,0.35714285714285715,0.0,-0.033865285839825746,-0.011294766382977467,-0.033865285839825746,4.668664576197669,4.07334986419706,1.2569637023512352,0.0,2021-02-25
2021-02-26,0.8426145064457574,0.5555555555555556,1.3704270922280273,0.119825191272452,0.033655244482832455,0.6309523809523809,0.0,-0.012437988366841192,0.006312135061019242,-0.012437988366841192,4.610595780510239,4.022685585972103,1.2648978270072748,0.0,2021-02-26
2021-02-27,0.2747551363291562,-0.027777777777777776,0.05646242548136306,0.0,0.032089884274328614,0.8611111111111112,0.30555555555555564,0.0007082871545234237,0.0,0.0007082871545234237,4.613861406276274,4.025534802499333,1.2648978270072748,0.0,2021-02-27
2021-02-28,0.3149560985775966,0.027777777777777776,0.22828439829730937,0.004344023190095963,0.03079937910762012,0.7777777777777778,0.0,-0.005870374726885946,0.0,-0.004382204671448574,4.593642521268274,4.001903404732541,1.2648978270072748,0.30555555555555564,2021-02-28
2021-03-01,0.9538036425427915,0.5555555555555556,2.1241920778556773,0.054516631409106314,0.031902507121642734,0.6904761904761905,0.0,0.03724572710752792,-0.0038115520254654034,0.036940171551972364,4.763332464052358,4.150957206855896,1.2600766031327386,0.0,2021-03-01
2021-03-02,0.9215811875591342,0.5555555555555556,0.8956374074574022,0.039019345483569626,0.032233522859406775,0.7698412698412699,0.0,-0.014036815078559757,0.0009172790964052102,-0.014036815078559757,4.696470447096755,4.092690988144245,1.2612324450606616,0.0,2021-03-02
2021-03-03,0.9507629993091427,-0.1111111111111111,1.1798575846702433,0.0,0.030734289238039017,0.7896825396825397,0.0,0.006238028542486439,-0.006089958561958264,0.006238028542486439,4.725767163794688,4.1182213113438655,1.253551591733245,0.0,2021-03-03
2021-03-04,0.9655195873754662,0.2222222222222222,1.370965049824053,0.010504764580388428,0.029793381114427357,0.6746031746031746,0.0,-0.0109821481612064,-0.00367789281125655,-0.0109821481612064,4.673868088626531,4.072994394742049,1.2489411633454701,0.0,2021-03-04
2021-03-05,0.8965945268666935,0.5555555555555556,1.4676047783945927,0.08431020360144127,0.03232904727661405,0.6190476190476191,0.0,0.014666180818700228,0.0012067893234709581,0.014666180818700228,4.74241588313708,4.132729667008889,1.2504483722070387,0.0,2021-03-05
2021-03-06,0.013717305447020862,-0.027777777777777776,0.4314949507939133,0.0,0.030825370659097115,0.7976190476190477,0.0,0.008768372114737886,0.0,0.008768372114737886,4.783999150323269,4.1689669785788395,1.2504483722070387,0.0,2021-03-06
2021-03-07,0.3096315317746381,0.027777777777777776,0.387984201349731,0.007440334966151504,0.029737694580355457,0.6825396825396826,0.0,0.00980551660915231,0.0,0.00980551660915231,4.8309087334499345,4.209845853530302,1.2504483722070387,0.0,2021-03-07
2021-03-08,0.8754899602573333,-0.1111111111111111,1.086522138736907,0.0,0.028354545995222642,0.5952380952380952,0.0,0.005524109989501196,-0.00410605334297659,0.005524109989501196,4.857595204642753,4.233101505064049,1.2453139644881184,0.0,2021-03-08
2021-03-09,0.8810886189558698,0.3888888888888889,1.4404370472413248,0.06661058389789806,0.030133896595347084,0.5158730158730159,0.0,0.016086736412124658,0.008561602485575609,0.016086736412124658,4.935738058296642,4.301198293181782,1.255975847621802,0.0,2021-03-09
2021-03-10,0.9455733607487237,0.2222222222222222,0.861218192962887,0.010416269312228253,0.029216797651946208,0.623015873015873,0.0,0.00571606623951267,0.001895640936956211,0.00571606623951267,4.963951063978749,4.3257842275348874,1.258356726854382,0.0,2021-03-10
2021-03-11,0.9019414976971994,1.0,1.1421222647582592,0.11199479872887755,0.033066937236919766,0.5634920634920635,0.0,0.014965766077271785,-0.003319931241770435,0.014965766077271785,5.03824039442128,4.390522902384927,1.254179069043606,0.0,2021-03-11
2021-03-12,0.8207702866441492,-0.1111111111111111,0.7657790721851522,0.0,0.0315289401561328,0.8412698412698413,0.20634920634920623,-0.0024365848247156854,-0.006348013877523012,-0.0024365848247156854,5.025964294332963,4.379825020908409,1.2462175229084183,0.0,2021-03-12
2021-03-13,0.3154479538259903,0.027777777777777776,0.6894886047102794,0.013110856532446797,0.030672285103868335,0.7380952380952381,0.0,0.017146593708877524,0.0,0.013402058499109148,5.093322561820048,4.454924101057901,1.2462175229084183,0.20634920634920623,2021-03-13
2021-03-14,0.3151878657480639,0.027777777777777776,0.3200735923894385,0.0060886188867193235,0.02952885876818698,0.6547619047619048,0.0,-0.00756912291329422,0.0,-0.0077754721196434265,5.0537195742442655,4.421204232967597,1.2462175229084183,0.0,2021-03-14
2021-03-15,0.8990824124449205,-0.1111111111111111,0.8736733434117363,0.0,0.0281554234766434,0.5753968253968254,0.0,-0.0077942433706796755,0.003382652724127133,-0.0077942433706796755,5.014329653955438,4.386744291184368,1.2504330440071394,0.0,2021-03-15
2021-03-16,0.8545759245231899,-0.1111111111111111,0.7477769180773195,0.0,0.026845868896334404,0.4801587301587302,0.0,-0.0025381506627345013,-0.0008173827261069577,-0.0025381506627345013,5.001602529821081,4.375610073254451,1.2494109616368145,0.0,2021-03-16
